IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
12,88,107876.3316,86
13,1,34345.68562,25
13,2,19406.97148,9
13,3,27725.13903,17
13,4,11458.69927,2
13,5,64064.44576,53
13,6,74136.67261,63
13,7,53940.69899,45
13,8,38695.15709,28
13,9,125026.1977,87
13,10,45501.7224,37
13,11,17394.6169,7
13,12,7297.511182,1
13,14,17283.57337,6
13,15,51998.29269,41
13,16,39385.56046,30
13,17,17496.62188,8
13,18,61082.794,51
13,19,28050.64254,18
13,20,64728.58331,54
13,21,86585.66399,72
13,22,13677.92356,3
13,23,76888.56701,64
13,24,23856.01483,13
13,25,14321.02119,4
13,26,70656.12319,58
13,27,42618.73068,33
13,28,56933.49871,46
13,29,20999.48467,10
13,30,91631.07524,76
13,31,32827.55658,22
13,32,24322.30544,15
13,33,59915.98952,49
13,34,43736.55938,34
13,35,61118.74194,52
13,36,34808.27161,26
13,37,106304.1963,85
13,38,72925.29124,60
13,39,72610.65971,59
13,40,102239.3146,83
13,41,84680.29793,70
13,42,79638.21853,66
13,43,92812.35832,77
13,44,83719.40214,68
13,45,94787.68535,79
13,46,94937.33721,80
13,47,91203.81555,74
13,48,65521.137,55
13,49,60407.03061,50
13,50,91301.31882,75
13,51,73291.95195,61
13,52,52240.84694,43
13,53,104240.1,84
13,54,25830.45766,16
13,55,85141.58413,71
13,56,79761.40863,67
13,57,68483.16077,56
13,58,83990.0909,69
13,59,59307.84904,48
13,60,43909.78642,35
13,61,50172.02131,39
13,62,39465.27051,31
13,63,29813.89818,20
13,64,33770.84498,23
13,65,45185.72703,36
13,66,69703.60504,57
13,67,36980.2972,27
13,68,29146.41397,19
13,69,21705.02712,11
13,70,47046.95178,38
13,71,94334.23018,78
13,72,38995.31487,29
13,73,22289.36968,12
13,74,53145.6946,44
13,75,31119.28123,21
13,76,77162.61873,65
13,77,24076.01021,14
13,78,34328.66612,24
13,79,58744.26173,47
13,80,73590.75128,62
13,81,51515.61013,40
13,82,15442.09184,5
13,83,52067.76979,42
13,84,95506.53997,81
13,85,40404.84797,32
13,86,98119.33499,82
13,87,90851.23913,73
13,88,113197.9952,86
14,1,51443.94508,28
14,2,35608.22791,17
14,3,44702.59595,21
14,4,17585.10059,4
14,5,81306.13222,57
14,6,89431.67376,65
14,7,57611.67213,35
14,8,45433.90908,23
14,9,142281.1884,87
14,10,62784.52576,40
14,11,34672.50039,16
14,12,23744.76163,6
14,13,17283.57337,3
14,15,69066.43918,45
14,16,56371.39512,33
14,17,33312.57432,11
14,18,68353.4863,44
14,19,44883.08927,22
14,20,81781.2001,58
14,21,103502.3929,73
14,22,12298.78654,1
14,23,93863.43464,66
14,24,13762.5623,2
